[000:00] 那今天的分享了
[044:33] 去扩大我们的一个广告投入的话呢
[044:36] 将会来得更有效
[044:37] 但这个是新品期啊
[044:38] 新品期我们需要做的动作
[044:40] 其实往大了说的话
[044:41] 一个就是把词分析好
[044:43] 就属性词分析好
[044:44] 那么之后第二个
[044:46] 按照这种的一个比例的话
[044:48] 我们可以去分配一下我们的预算
[044:49] 确保呢
[044:50] 每个属性的词都吃到预算之后
[044:51] 当数据有了之后
[044:52] 第三步
[044:53] 围绕着刚才说到的
[044:55] 结合属性
[044:56] 以及我们的广告报告
[044:57] 来去筛选不同属性之间去做对比
[045:00] 找到我们这阶段
[045:01] 继续去发力的一个广告投入入口
[045:04] 继续去扩大我们的一个排名和订单
[045:07] 就是在新品期呢
[045:08] 我们重点的话就是结合着我们的一个
[045:11] 这些种广告类型
[045:13] 把我们的一个listing的标签
[045:15] 画向前打明确
[045:16] 建立好良好的基础
[045:17] 那么往下来看
[045:18] 在成长期里面呢
[045:19] 我们需要重点来去布局的广告类型是什么
[045:24] 因为在成长期里面的话呢
[045:25] 我们其实通过咱们的刚才的新品期
[045:28] 我们已经有了比较多的一些数据积累
[045:31] 那在成长期里面的话
[045:32] 我们要继续把我们这个整个的生意盘
[045:34] 或者说规模的话去扩大
[045:36] 我们需要融入更多的一个
[045:38] SB的一个广告类型的发力
[045:40] 在这个阶段里面的话呢
[045:42] 品牌推广的一个预算占比呢
[045:45] 将会达到比较高
[045:47] 基本上是50%的一个预算
[045:49] 那我们在第一阶段里面的话
[045:51] 积累好的一些关键词的话
[045:52] 我们需要去投呢
[045:53] 继续保持住呢
[045:55] 这个肯定是必然了的
[045:56] 所以呢
[045:56] 我们得分配30%预算
[045:59] 在我们新品期积累出来的数据的时候
[046:01] 在成长期里面
[046:02] 抓住这些我们第一阶段里面测试出来的好的数据
[046:06] 但在这个阶段里面的话
[046:07] 我们就得去关注一下
[046:08] 在这种常委词属性相关词上面
[046:11] 抓住之后
[046:12] 这个阶段里面
[046:12] 要往更上方一个层级的
[046:15] 就是品类词上面去
[046:16] 做一个放大了
[046:17] 因为我们一直去抓这种
[046:19] 常委词一些属性化
[046:20] 或者相关性的一些部分属性呢
[046:22] 肯定流量入口会有缺失
[046:24] 所以我们在成长期里面
[046:25] 第二个阶段里面
[046:26] 我们要逐渐往品类词上面去靠
[046:29] 也就是简单来说
[046:30] 扩大我们的一个流量词
[046:32] 那么再来往下来看
[046:33] 那么在自动广告里面的话呢
[046:35] 如果我们确实有之前
[046:37] 我们所没有发现的一些属性词
[046:40] 跑出来
[046:40] 或者说有可能在这阶段里面
[046:42] 自动广告会跑出来
[046:43] 我们的精品的一些品牌词
[046:45] 都有可能会出现
[046:46] 但凡这种词的话
[046:48] 跑出来之后
[046:49] 我们也可以在呢
[046:50] 所有的广告活动里面
[046:51] 来去总体把这个属性的话
[046:53] 去做一个分析
[046:54] 如果确实是非常优秀的词
[046:56] 那我们可以继续呢
[046:58] 把这种属性词的话
[046:59] 单独拉出来
[047:00] 去做一个手动关联词的一个投放
[047:03] 用到的更多的是广泛匹配
[047:05] 或者说是磁足
[047:06] 磁足比辈
[047:07] 因为其实在去推动服装里面的话
[047:10] 精准匹配的话
[047:11] 用的相比较而言是比较少的
[047:13] 为什么这种体育类型用的比较少呢
[047:15] 刚才其实已经给大家解释过了
[047:17] 就是我们在热门塑尺里面的话
[047:19] 能看到那些链接比较牛
[047:21] 但是呢
[047:22] 在他们这个
[047:23] 前三名这个点击分合比较多的链接里面
[047:26] 即使点击分合获得到相对来说比较高
[047:28] 但是他们的转发分合
[047:29] 在某一个具体词上面的话
[047:31] 也幅幅做的很高
[047:32] 所以我们一定要把我们的流量路口打开
[047:34] 所以用的更多是广泛和磁足匹配
[047:37] 但在这个阶段里面呢
[047:38] 其实我们那个链接
[047:40] 随着我们成长期
[047:42] 还有呢
[047:42] 新品期沉淀成长期的一个积累
[047:44] 我们的一个什么呢
[047:45] 链接转化顾客的能力
[047:47] 包括呢
[047:48] 我们的链接性能被注射的
[047:49] View啊
[047:50] Ritting啊
[047:50] 这些都有了积累
[047:51] 所以我们可以考虑呢
[047:52] 在这个阶段里面
[047:53] 对于一些品类
[047:55] 就是我们品类下的一些强制竞技品
[047:57] 和一些弱势竞技品呢
[047:59] 来去做一个投放
[048:01] 那么这里面的话可以去细分两个维度
[048:03] 强制竞技品的话呢
[048:04] 我们并不一定啊
[048:06] 你能够拿到有效的转化
[048:08] 也并不一定拿不到什么的转化
[048:10] 所以呢
[048:10] 这里面的话
[048:11] 我们去投的时候
[048:12] 强制品类主要是从它里面去抢爆
[048:14] 我们验证一下数据
[048:16] 如果确实有之前
[048:17] 我们没有发现的强制品类的一些竞技品
[048:19] 包括它的品牌
[048:20] 我们在这个阶段里面可以增加一下投放
[048:23] 当然若是品类
[048:24] 若是竞技品
[048:25] 我们就可以去从它的产品
[048:27] 一些详情页面里面
[048:28] 去拉订单
[048:29] 拉转化
[048:30] 所以呢
[048:30] 在这个阶段里面
[048:31] 我们会分配一部分的一个商品
[048:33] 一个推广
[048:35] 商品推广
[048:35] 那么再往下来看的话呢
[048:37] 就是自动广
[048:38] 自动广的话
[048:39] 第一阶段里面的话
[048:40] 占比会比这个阶段要高
[048:41] 因为越往后期走的话呢
[048:43] 其实我们可以把自动广的话
[048:45] 理解一个
[048:46] 理解成一个大的一个流量池
[048:48] 最开的话
[048:48] 它可能各项数据都会在里面匹配出来
[048:50] 但是随着我们越往后期走
[048:52] 我们大家会发现
[048:53] 之前我最开始开自动广的话
[048:55] 效果出单效率还比较不错
[048:57] 为什么越往后期走的话
[048:58] 它这个整个的定单效率就没有出现那么好了呢
[049:02] 因为什么
[049:02] 已经把他里面好的数据
[049:04] 可能单独了
[049:05] 放到了手动里头去做的培养
[049:08] 那么自动里面的话呢
[049:09] 它可能剩下的
[049:10] 这些黄金
[049:11] 这些钻石
[049:12] 这些优质的关键词的话
[049:13] 它可能剩下的会比较少
[049:15] 所以在这个阶段里面的话
[049:16] 我们自动的话预算呢
[049:17] 分配将会逐渐减弱
[049:19] 但在这个阶段里面
[049:20] 成长期
[049:20] 主阵地啊
[049:21] 还是在我们的一个
[049:22] SB
[049:23] 那品牌广告里边来去进行个发力
[049:26] 那么我们接着来往下方看
[049:28] 那在成熟期
[049:29] 成熟期呢
[049:30] 基本上我们的一个
[049:31] 大部分的一些流量
[049:33] 的一些出手抓手的话
[049:35] 都已经布局的比较完善了
[049:37] 那么我们呢
[049:37] 终结一下
[049:38] 就是以工为手
[049:40] 重点的话来去防御一下你的竞品
[049:42] 因为什么呢
[049:43] 你放心你成为头部之后
[049:45] 一定有非常多的竞争对手
[049:48] 天天在盯着你
[049:49] 盯着你的广告
[049:50] 如何去布局的
[049:51] 盯着你的一个链接呀
[049:52] 包括促销动作呀
[049:53] 一天都会有非常多的人来研究我们
[049:56] 所以呢
[049:56] 我们在这个阶段里边
[049:58] 我们主重心的话
[049:59] 其实会围绕着一个什么呢
[050:02] 我们来先来看主要部分
[050:03] 就是这个品牌推广里边的
[050:06] 一个预留展示份额
[050:07] 基本上这部分的广告的话
[050:09] 我们会放到50%
[050:10] 一个是投放我们自己的品牌
[050:13] 此这部分的话
[050:14] 力度会进一步加大
[050:15] 因为在清品期和成长期期段里面
[050:18] 顾客从不知道
[050:19] 比如说
[050:20] 卖这个服饰里边
[050:22] 比如说有肉客这个品牌
[050:24] 他可能逐渐的话
[050:25] 去体验不了我们的产品
[050:27] 再到呢
[050:28] 后面可能慢慢转化成为了
[050:30] 我们那个品牌的中心顾客
[050:31] 到他们再来去需要购买这种产品
[050:33] 他们可能会去搜索
[050:35] 比如说肉客
[050:36] 比如说
[050:36] 来去找我们
[050:38] 所以我们在这个阶段里面
[050:40] 一定是要把我们的品牌护城盒
[050:42] 给它建立起来的
[050:43] 同时呢
[050:44] 我们再去做一个投放的时候
[050:47] 品牌广告里头
[050:48] 落地页在这个阶段里面
[050:50] 我们的转化主任地
[050:51] 其实会从前期的一个listing页面的话
[050:55] 逐渐演变成我们这个旗舰店
[050:57] 因为旗舰店里面的话
[050:58] 大家也不妨去看一下数据
[051:00] 当我们用到这种品牌的
[051:02] 推广的各种格式类型广告
[051:04] 更加生动的形象的展示
[051:06] 我们产品的同时呢
[051:07] 也展示到我们品牌
[051:08] 落地到旗舰店之后
[051:09] 旗舰店里面
[051:10] 贡献出来这个订单效率
[051:12] 包括RUAS这个指标的话呢
[051:13] 会比你单独落地到产品墙
[051:15] 信业的话呢
[051:16] 它要更加高一些
[051:17] 为什么呢
[051:18] 因为我们都是希望
[051:19] 花一次钱
[051:20] 对吧
[051:21] 巴不得顾客呢
[051:22] 把我们店铺里头
[051:23] 所有的产品都看到
[051:24] 所以旗舰店的话呢
[051:25] 它将很有效的
[051:26] 能够帮助我们实现
[051:27] 这个诉求
[051:28] 所以转化主任地的话
[051:29] 不再是围绕的单一个
[051:31] 比如说
[051:32] 某个附体下的
[051:33] 一个产品墙
[051:33] 去做个推广
[051:34] 而是围绕的品牌
[051:35] 前店啊
[051:36] 去做个推广
[051:37] 那么另外的话呢
[051:38] 在我们精品极客成长期里面
[051:41] 积累出来的
[051:42] 几种的好的关键词
[051:43] 和商品投放
[051:43] 也是不能够少
[051:44] 那么商品投放里面
[051:46] 关键词的话呢
[051:46] 我们其实会分配
[051:48] 10%的话
[051:49] 也是用来进行一个
[051:50] 品牌防御
[051:51] 也就是品牌广告里面
[051:53] 我们打了一下
[051:54] 比如说ROKE
[051:54] 这个MineSoot
[051:55] 那么商品广告里面的
[051:57] 关键词投放的话
[051:58] 我们也会考虑去投赏
[052:00] ROKE
[052:00] 开我们自己品牌名字的
[052:02] 确保呢
[052:02] 搜索我们品牌名字的时候呢
[052:04] 我们的一个商品广告
[052:05] 和品牌广告呢
[052:06] 都是呈现在最上方的位置
[052:08] 那么进行功力型的广告的话
[052:10] 在这块我们会放到20%
[052:11] 因为我们已经到乘出期
[052:13] 转化的顾客能力的话
[052:15] 相比而言
[052:15] 对比前两个周期
[052:17] 将会变得更加稳定
[052:18] 所以我们进一步的话
[052:19] 要从竞品牌那里
[052:21] 来去抢走更多的一个
[052:24] 什么呢
[052:24] 流量和增额
[052:26] 那么当然在这个阶段里面的话
[052:27] 我们看完了关键词
[052:29] 再来看一下
[052:30] 就是下方这个展示型的一个
[052:32] 在营销
[052:33] 那么在营销这个里面的话呢
[052:35] 其实我们主攻的话
[052:37] 两个维度
[052:38] 一个是复购
[052:39] 二是销售
[052:40] 另外一个的话
[052:41] 就是一个顾客他看的
[052:43] 但是没有买的
[052:44] 因为咱们这种产品的话
[052:45] 他属于是高客单价
[052:46] 高客单价
[052:47] 刚才说到过一个点
[052:48] 顾客他的一个购买决策
[052:50] 周期就会比较长
[052:52] 所以他们在决策中间的话
[052:54] 有时候可能会被打断
[052:55] 那么我们是不是可以
[052:56] 让我们一个展示型号
[052:58] 主动追个顾客去走
[053:00] 也就是说他看了
[053:02] 我的产品
[053:02] 但是还在犹豫
[053:03] 到底要不要买那么我们的广告呢
[053:05] 再次追他去走
[053:07] 当然呢
[053:08] 在即将到来的大触
[053:09] 活动期间
[053:10] 尤其是我们是高客单价的中心
[053:12] 那么我们前期可能会记得
[053:14] 比较多的一种架构
[053:15] 但是顾客他可能都在等促销
[053:17] 所以呢
[053:18] 我们是不是可以在去提报
[053:19] 促销活动的时候
[053:20] 用到这种再营销的一种展示
[053:23] 广告来去让顾客呢
[053:25] 看了我们的一个
[053:26] 就是看了我们
[053:28] 广告的顾客的话
[053:29] 再次去看到我们这个链接
[053:30] 因为我告给他
[053:31] 最近的话我在做促销
[053:33] 要不要口味
[053:33] 所以呢
[053:34] 这是我对于这部分的一个
[053:37] 就是高客单价
[053:39] 决策周期比较长的功能基础款的话
[053:41] 广告的一个打法和思路的建议
[053:44] 那刚才通过大宝老师的分享的话
[053:46] 相信大家呢
[053:46] 对于长生命周期下的高客单价
[053:49] 长决策周期类型的产品的广告打法呢
[053:51] 有了一个大概的认知
[053:53] 那接下来的话
[053:54] 我们再来看一看
[053:55] 短决策的低客单价的产品
[053:57] 那我们以这个女士底库称群
[054:00] 做一个例子
[054:02] 来看一下低客单价
[054:03] 短决策的功能基础款
[054:05] 广告应该怎么来打
[054:06] 先回到这样一个
[054:08] 头部Ason和尾部Ason的一个数据
[054:10] 对这里的话
[054:11] 给大家展示的是
[054:12] undergarden sleep
[054:13] 这个类目下
[054:14] Top25%和Bottom25%
[054:17] Ason的生命周期的趋势图
[054:18] 那这个趋势图的话
[054:20] 与上一个趋势图的话
[054:21] 有非常相近的一点
[054:22] 都会发现
[054:23] TopAson的话
[054:24] 它在销售的初期的话
[054:26] 都是处于一个稳步增长的一个状态
[054:28] 并且的话
[054:29] 是持续到了第28个月
[054:31] 达到了峰值
[054:32] 那么在到了峰值之后的话
[054:33] 才开始缓慢下降
[054:35] 但是尾部Ason
[054:36] 我们会发现
[054:37] 在这样的一个类目下
[054:38] 尾部Ason它掉的速度
[054:40] 其实是要比上一个品类的话
[054:42] 它掉的速度更快一些
[054:44] 它在第三个月到达峰值之后
[054:45] 就在快速下跌
[054:47] 并且没有再往回走的趋势
[054:49] 在这样的类目下的话
[054:50] 头部Ason它相对尾部Ason
[054:53] 它的生命周期的话
[054:54] 是有十倍之多
[054:55] 那头部Ason它到底做对了什么
[054:57] 我们还是进一步的来看一下
[054:59] 头部Ason在不同的阶段
[055:01] 广告的这样一个表现
[055:03] 和尾部Ason的一个对比
[055:04] 那这张图的话
[055:05] 大家可以看一下
[055:06] 在这里的话
[055:06] 我们也是同样去把
[055:08] 这样一个类型的产品
[055:09] 它在新品期
[055:10] 成长期
[055:11] 成熟期
[055:12] 分别在这个SP
[055:14] 就是商品推广的曝光点击
[055:16] 包括出价
[055:17] 以及转发率和Royce上
[055:19] 去做了一个对比
[055:20] 同时的话
[055:21] 最后一列的话
[055:21] 是有给大家展示
[055:23] 在这一类型的产品下
[055:24] SB的一个广告投放的参与度
[055:26] 那我们再看一下
[055:27] 这样的一组数当中的话
[055:29] 我们会发现
[055:30] 首先这里的话
[055:30] 我们先回过头来
[055:32] 想一想
[055:33] 这个女士底库
[055:34] 秤群的这样一个品类
[055:36] 在美国占
[055:37] 它的一个整体的情况
[055:38] 是怎么样的
[055:38] 那这里的话
[055:39] 我们可以通过亚马逊的
[055:41] 卖家后台
[055:41] 来去找到这个品类下
[055:44] 那么它的一个品牌
[055:45] 集中度的情况
[055:46] 那整个品类来讲的话
[055:47] 品牌集中度是比较高的
[055:49] 可以看到前五位的
[055:50] 品牌点击量的话
[055:51] 占比是达到
[055:52] 百分之六十八点
[055:53] 一八的这样
[055:54] 这样一个比例
[055:55] 但是的话
[055:56] 它又是属于一个
[055:56] 课单价比较低
[055:57] 决策周期短的
[055:58] 一个市场特性
[055:59] 那再结合
[056:01] 刚刚我们再给大家
[056:02] 看到了这样一个
[056:03] 新品期成长期成熟区
[056:05] 头部A-S
[056:06] 对比尾部A-S
[056:07] 广告表现
[056:08] 我们会发现一个
[056:09] 有意思的现状
[056:10] 在新品期的时候
[056:11] 这一类型的产品
[056:12] SB
[056:13] 就是我们的品牌
[056:14] 推广的参与度
[056:15] 就已经达到了
[056:16] 达到了49倍之高
[056:18] 这个和刚才我们看到的
[056:19] Suit是完全不同的
[056:20] 第二个我们可以看一下
[056:22] 在成长期的时候
[056:23] SB的投放
[056:24] 依然处于一个
[056:25] 非常高贵的状态
[056:26] 那么其次
[056:27] 我们再来看一下
[056:28] 它们的CPC的一个变化
[056:29] 但是在这样的一个投放下
[056:31] 它的CPC
[056:32] 其实是相对于
[056:33] 尾部A-S来讲
[056:34] 它是始终保持在了
[056:36] 0.7到0.9倍
[056:37] 也就是说
[056:38] 它其实比尾部A-S的
[056:39] 出价要更低的
[056:40] 那这里
[056:41] 我们会发现一个什么点
[056:42] 我们会发现说
[056:43] 这些数据都在很清晰的
[056:45] 告诉我们
[056:46] 在服饰品面下的低课单价
[056:48] 短决策
[056:48] 周期的这个功能基础款的产品当中
[056:51] 头部A-S他们采用的是一个
[056:53] 激进投入
[056:54] 快速建立优势的广告打法
[056:56] 他们从一开始就把SPP
[056:58] 同步启动起来
[056:59] 去帮助自己的A-S和自己的品牌
[057:02] 通过DCPC的方式来去高效的
[057:04] 获取曝光
[057:05] 在成长期的时候
[057:07] 把SB的投入加大
[057:08] 同时去拉到一个峰值的状态
[057:10] 那么去快速的去转化购买和提升ROS
[057:13] 在成熟期了之后
[057:15] 反而这个时候
[057:16] SB的投放开始降低了
[057:17] 因为前期已经建立了
[057:19] 比较高的品牌的壁垒
[057:21] 那么在这个时候的话
[057:22] 我们会发现
[057:22] 它的出价反而比同类要更低了
[057:25] 低到了0.7倍
[057:27] 通过更低的一个CPC来去转化流量
[057:29] 但是的话
[057:30] 它的ROIS
[057:31] 依旧维持在一个
[057:32] 很好的一个水位上
[057:33] 它依旧保持在了1.8倍的
[057:35] 一个ROIS的一个表现上
[057:37] 所以说我们会发现
[057:38] 这个是我们通过
[057:39] A-S的生命周期
[057:40] 进一步的去拆解
[057:41] 头部A-S
[057:42] 它在不同阶段
[057:43] 它的广告数据表现当中
[057:45] 得出来的这样一个
[057:46] 关键的答法和指引
[057:48] 那这个关键答法指引
[057:49] 我们又进一步的
[057:50] 怎么落实到
[057:51] 具体的广告架构当中呢
[057:53] 在这里的话
[057:54] 我们也有请大黄老师
[057:55] 来基于自己的实战中念
[057:57] 跟大家做一个分享
[057:58] 那我们接下来的话呢
[058:00] 来看一下
[058:00] 这个低课单价
[058:02] 这个短决策的
[058:03] 一个功能基础款
[058:05] 它的一个广告的
[058:06] 一个投放思路
[058:07] 那么刚才呢
[058:08] 其实全然老师的话
[058:09] 也给大家去看了一下
[058:10] 官方的一个数据
[058:11] 其实呢
[058:12] 我们不能发现
[058:13] 极合车精品的一些分析
[058:14] 我们会发现
[058:15] 精品期的话呢
[058:16] 它们的一个SP和SB的话呢
[058:19] 基本上同步都已经开启了
[058:21] 那么再去这部分的话
[058:23] 去做投放的时候呢
[058:24] 就是为什么
[058:26] 我们得思考的问题
[058:27] 就是它这种低课单价产品
[058:29] 一开始就要去做一个
[058:30] 这种品牌推广
[058:31] 接下方的话
[058:32] 一个打裸列传的两个
[058:34] 重点内容
[058:35] 第一个的话呢
[058:36] 因为视觉更有说服力
[058:38] 尤其是比如说
[058:39] 我们所看的这个品牌里边
[058:41] 它比较在乎这种速身
[058:43] 还有呢
[058:43] 隐形防滑这些功能
[058:45] 那么顾客
[058:46] 因为它并不能够像线下一样
[058:49] 直接比如说
[058:50] 触摸呀
[058:50] 或说
[058:51] 试穿呀
[058:52] 这种
[058:52] 所以呢
[058:52] 我们可以通过我们的一个
[058:54] SB的
[058:55] 比如说视频这种的格式
[058:57] 推广
[058:57] 来去看一下
[058:58] 它给顾客带来的一个
[059:00] 整体的转化能力
[059:01] 其实比呢
[059:02] 这种双面广告的话
[059:04] 效果呢
[059:05] 要更加明显
[059:06] 因为它能够短时间
[059:07] 能够快速向顾客去传递出来
[059:09] 我们产品的一些核心
[059:11] 就是核心的一个卖点
[059:12] 第二个呢
[059:12] 就是这种提高客单价
[059:14] 因为低客单价的话呢
[059:16] 它往往
[059:17] 这种复购是比较强的
[059:19] 因为顾客
[059:19] 他同时可能
[059:20] 不止买一件
[059:21] 他可能比如买三件呀
[059:23] 三拍
[059:23] 他不说五拍
[059:24] 或者几种颜色
[059:25] 都会去做一个购买
[059:27] 所以呢
[059:27] SB广告的投放里面的话
[059:30] 又同时能够展示出来
[059:32] 我们这一个系列下
[059:33] 众多的这种一些款式和颜色
[059:35] 所以
[059:36] 这份卖家的话呢
[059:37] 在去做投放的时候呢
[059:38] 其实新品期里面
[059:39] 商品广告和SB广告的话
[059:42] 它是会爱速呢
[059:43] 同步去做个启动的
[059:45] 所以我们来看一下
[059:45] 这部分的广告架构啊
[059:46] 其实呢
[059:47] 我们来去做一个拆分
[059:50] 商品广告的话
[059:51] 观战词
[059:51] 其实我们呢
[059:52] 也得去投放
[059:53] 因为呢
[059:53] 观战词
[059:54] 商品广告里面的话呢
[059:55] 我们是要去找一些这种品类
[059:57] 大自由广泛品匹配
[059:58] 尽可能去最大化
[060:00] 获取相关的一些流量
[060:02] 那并且的话呢
[060:03] 我们也可以去观察观察
[060:04] 这种里面的话
[060:05] 在我们去投放
[060:06] 这种商品广告
[060:07] 关键次投放的时候呢
[060:08] 它能否给我们匹配出来一些
[060:10] 转化相比较而言
[060:12] 在各种属性里面
[060:14] 相比较好的
[060:15] 我们也可以重点的话
[060:17] 来去关注一下
[060:17] 同时品牌这个视频的一个推广
[060:20] 包括呢
[060:21] 品牌的一个
[060:22] 其他类型的广告的格式的话
[060:24] 我们都可以分配上
[060:25] 比较多的一个预算
[060:26] 百分之三十预算
[060:27] 那么因为呢
[060:28] 链接初期
[060:29] 我们再没有太多个类型说
[060:31] 所以我们需要通过
[060:33] 这种尤其是视频格式的类型
[060:36] 向顾客的话
[060:37] 快速去传递这种产品的信息和卖调
[060:39] 帮助他们打烧一页
[060:40] 但是商品这个商品推广
[060:42] 这个商品投放的话呢
[060:43] 我们可以放20%
[060:44] 这里面的话
[060:45] 我们重要的话
[060:45] 就得去关注一下
[060:46] 这种上下游
[060:48] 能够交叉组合搭配的产品
[060:50] 包括可能比如说
[060:51] 这个打底库的话
[060:53] 它适用于
[060:54] 比如说这种玩眼群
[060:55] 长群
[060:56] 那么确实
[060:58] 顾客的话
[060:58] 买这种长群
[060:59] 他同时会去使用
[061:01] 我们这种产品
[061:02] 所以我们可以把这种关联的流量
[061:04] 给他用到商品推广里面
[061:06] 去做个展示
[061:07] 当然的话呢
[061:07] 自动网里面分配10%
[061:09] 预算的话
[061:09] 是用来帮助我们去查路补缺
[061:12] 并且呢
[061:13] 去积累一些
[061:14] 我们之前没有抓取到的一些数据
[061:16] 这是新品期
[061:17] 我们呢
[061:18] 所需要考虑的个点
[061:19] 就是低课单价
[061:20] 短期色周期的一个基础款
[061:22] 当然的话呢
[061:23] 今天给他带来一个
[061:25] 就是小的一个这个表格
[061:28] 我们也可以去看一下
[061:29] 就是为什么有这个表格呢
[061:31] 我建议啊
[061:32] 就是大家呢
[061:32] 你在不同的一个产品生命周期里面
[061:35] 去做产品的一个推广的时候
[061:37] 一定要明确一下
[061:38] 就是你到底有多少的预算
[061:40] 可以用来去打广告
[061:42] 能够实现我们的一个期望的一个
[061:45] 什么呢
[061:45] 预计目标值
[061:46] 比如说我这块举个例子啊
[061:48] 等会我来给大家去看这个表格
[061:49] 先给大家举个例子
[061:50] 比如说我的产品毛利是在40%
[061:54] 那如果呢
[061:54] 我的一个整个的一些仓储呀
[061:57] 或者促销啊
[061:58] 等等的一些
[061:59] 砸起的阿巴的费用
[062:00] 比如说占个10%
[062:01] 那么我又希望呢
[062:02] 在这个阶段里面能够拿到
[062:04] 比如说10%的一个纯利
[062:06] 那我们可以去思考一下
[062:07] 是不是我们定的一个
[062:09] Total E-Col目标值
[062:10] 在有自然和广告
[062:12] 订单
[062:13] 共同的就是促进一下
[062:16] 我希望呢
[062:16] Total E-Col目标
[062:17] 就是综合E-Col的话呢
[062:18] 在20%
[062:19] 这样是不是能够达成
[062:20] 我最终10%的一个利润目标
[062:22] 那我们就可以借着这个表格的话
[062:24] 来去这样子思考一下
[062:26] 这个表格里面
[062:27] 我是给大家套了个公式的
[062:28] 也是凭说我自己在用这个表格
[062:30] 我们把这个黄色这部分的话
[062:32] 大家可以去填写一下
[062:33] 比如说我们观察了
[062:35] 在现在的阶段里面
[062:36] 比如说我们的产品售价
[062:37] 我这话是随便主义的
[062:38] 比如说100美金
[062:39] 那广告订单数和自然订单数
[062:41] 这个里面我们是能够看到
[062:43] 结合的广告后台里边
[062:45] 我们就可以看一下
[062:46] 在这个阶段里面
[062:47] 我们广告里头一共出了多少个订单
[062:49] 比如说100个订单
[062:50] 那么结合的业务报告里边
[062:51] 全局道订单
[062:52] 比如说出了有个300单
[062:54] 那么300减100分钟
[062:55] 能够算出来自然订单数码是200
[062:57] 我们就可以把自然订单数
[062:58] 再去把我们产品的毛利率
[063:00] 填到这个里面之后
[063:01] 我们可以去把现阶段
[063:03] 我们的广告花费填到这里
[063:05] 下方的这个期望目标值的话
[063:07] 我们也是需要去结合我们预计
[063:09] 想要达成的一个利润目标
[063:12] 倒推出来
[063:13] 你有多少的一个
[063:14] 并非平衡的
[063:15] 或者说达成期望的目标
[063:17] 特多依靠值是多少
[063:18] 前路进来
[063:19] 右侧这块的话
[063:20] 就可以去看到我们现阶段
[063:21] 还有多少钱
[063:22] 可以用来加涂到我们广告活动里面
[063:24] 当然的话
[063:25] 如果这个值你算出来
[063:26] 是个负数的话
[063:27] 说明为了达成你现在的目标值
[063:29] 你的广告费是花超了的
[063:31] 那么再从你现在的里边
[063:33] 这么重夺的广告类型里面
[063:35] 可以去保留优化掉哪些
[063:36] 比如说无法有差转化顾客的
[063:38] 或者说哪些过于匹配
[063:40] 泛的一些流量
[063:41] 那么回到我们的PT界面
[063:43] 那么往下来看
[063:44] 新品期我们看完之后
[063:46] 也就是我们做完了
[063:47] 初期的一个规划
[063:48] 包括明确的
[063:49] 我们用多少钱
[063:49] 可以用来去总投入
[063:51] 按照这个笔值的话
[063:52] 来去做一个分配
[063:53] 其实我们就能够算出来
[063:54] 我们呢
[063:55] 比如说
[063:56] 每一种广告类型的话
[063:57] 给它分配的预算有多少
[063:59] 那么往下个阶段的话
[064:00] 进到成长期
[064:01] 成长期里面的话呢
[064:02] 我们需要重点关注指标
[064:04] 这两个
[064:05] 一个是转化率
[064:06] 另外一个呢
[064:07] 是RUX这个指标
[064:08] 我们可以去看一下
[064:09] 因为呢
[064:09] 在成长期里面
[064:11] 品牌的广告类型
[064:12] 投入呢
[064:13] 将会达到一个峰值
[064:15] 并且呢
[064:15] 在这个阶段里面
[064:16] 我们呢
[064:17] 链接的话
[064:17] 也会有这个评价的话
[064:19] 逐渐积累
[064:19] 所以呢
[064:20] 我们要进一步快速的话
[064:22] 实现一个
[064:23] 就是快速实现一个转化
[064:25] 提高我们的一个RUX这个指标
[064:27] 所以我们在
[064:28] 用的广告策略里面
[064:29] 就是第一个
[064:31] 我们呢
[064:31] 成长期里面
[064:32] 通过手动关注的话
[064:33] 进一步去扩大
[064:35] 我们之前没有覆盖的
[064:36] 一些流量入口
[064:37] 那并且呢
[064:37] 通过品牌的一个
[064:39] 推广视频
[064:40] 预算的话
[064:41] 占底也给它分配的是
[064:42] 比较多的
[064:43] 来去进一步提高
[064:45] 我们链接转化率
[064:46] 和点击率
[064:47] 那么当这几个率的话
[064:49] 提起来之后
[064:49] 我们会发现
[064:50] 在这个阶段里面
[064:51] 我们自然流量的话
[064:52] 也会积累的比较快速
[064:54] 所以你去看
[064:54] 你的总订单里面的话
[064:56] 其实广告订单
[064:56] 占底会发现
[064:57] 它其实
[064:58] 针对于我们
[064:59] 全部的
[065:00] 一部报告里面
[065:00] 总订单里面的话
[065:01] 它的占比
[065:02] 将会比
[065:03] 第一个阶段里面的话
[065:04] 其实会有所下降
[065:05] 因为自然流量
[065:06] 订单占比
[065:06] 将会有所提高
[065:08] 因为我们的排名的话呢
[065:09] 在这个阶段里面
[065:10] 也会由得我们流量
[065:11] 入口逐渐扩大
[065:12] 订单量更靠钱
[065:14] 订单量更多
[065:15] 排名的话
[065:15] 也会更靠钱
[065:16] 系统的话
[065:17] 从而给我们匹配的
[065:18] 自然流量的话
[065:18] 也会变得比较多
[065:19] 那么商品投报里面的话
[065:21] 我们可以去聚焦一下
[065:22] 高转化的一些进行
[065:24] 来去通过
[065:25] 我们比如说
[065:26] 打一些弱势的品牌
[065:28] 弱势的一些进行品
[065:29] 去抢他们的一个流量
[065:31] 这样的话呢
