[000:00] 然后我们现在目前我看大家都已经陆陆续续上线了
[076:50] 是为什么
[076:51] 我们刚刚是不是有讲过
[076:53] 成熟期对于
[076:54] 这些产品而言
[076:55] 是不是它的第三个窗口期
[076:57] 也就是它第三个忘记
[076:58] 那么在这个时候
[077:00] 基本上第三个忘记之后
[077:01] 其实它很难再会有第四个了
[077:03] 因为本身这种
[077:04] 这类型的产品
[077:05] 虽然说它是季节性的
[077:07] 但是它同时也是受
[077:08] 流行趋势的变化所影响
[077:10] 那么一旦流行趋势过了之后
[077:12] 它其实是很难再恢复的
[077:14] 所以说对于这类型的产品而言
[077:17] 在产品吸引力
[077:18] 在进入到一个急剧衰退的
[077:21] 这样一个之前的话
[077:22] 那么这个是它最后一波
[077:23] 忘记的流量
[077:24] 那么它是要把握住的
[077:26] 同时在这个时候
[077:27] 由于头部A-S它在前面
[077:29] 已经积累了比较好的排名也好
[077:31] 口碑优势也好
[077:32] 所以它也可以在成熟期
[077:33] 就利用好这样的一些过往的一些数据
[077:35] 来进一步的通过
[077:37] 品牌推广的这种投放方式
[077:39] 来去放大
[077:40] 放大它的效能
[077:41] 从而给它带来了
[077:42] 比较好的整体的一个点击也好
[077:45] 曝光也好
[077:45] 它的转化也好
[077:46] 它都是在非常快速和稳定的爬坡的
[077:50] 同时
[077:50] Rowise在这个时候的话
[077:52] 它依然是保持到了1.4倍
[077:54] 所以这里大家就会发现
[077:56] 在每个阶段
[077:57] 其实头部A-S它都有做对一些事情
[078:00] 而这些做对的事情
[078:01] 最终去帮助了它
[078:03] 在整个这样一个积极性的产品下面
[078:06] 它走过了三个旺季
[078:08] 所以这个就是我们看到的
[078:10] 以群为代表头部A-S
[078:13] 它们采用的广告打法
[078:15] 那当然的话
[078:16] 我们这里的话
[078:16] 也是想跟大家再一起来看一下这种数
[078:19] 这种数据当中还有个数
[078:21] 大家我不知道大家有没有观察到
[078:22] 是什么数
[078:23] 就是有一个特别有意思的数
[078:25] Rowise
[078:25] 大家可以看一下
[078:27] Rowise是不是始终在三个阶段
[078:29] 它都对于尾部A-S而言
[078:32] 它都保持了相对尾部A-S
[078:34] 它的表现是1.4倍的表现
[078:36] 那大家想想
[078:38] 这说明了什么
[078:39] 这说明了
[078:40] 其实这说明了一个点
[078:41] 就是头部A-S
[078:42] 它在每个阶段
[078:44] 它其实都是在保持一个比较高效的转化效率
[078:47] 它并不是一个单纯的去烧钱
[078:50] 来去换规模的这种打法
[078:52] 那么他们的这种规模优势
[078:54] 其实来自于的是
[078:56] 它的这个规模优势
[078:57] 大家可以看impression click
[078:58] 它都是在足部的往上走的
[079:00] 那么也是在稳步的去进行成倍成倍的增长
[079:04] 那它这个成倍成倍的增长
[079:06] 最后的点不是在于说它投了更多的钱
[079:08] 而是说他们用了自己原有的这些产品力的一个积累
[079:13] 以及广告的协同效应
[079:15] 给它的一个持续的累积
[079:17] 那么在这三个峰值期间
[079:19] 它是一个很大很长的一个周期
[079:21] 在这三个周期当中
[079:23] 他们逐步的去把自己的规模优势给做起来了
[079:26] 所以这个是我们看到的
[079:27] 在这类型的产品
[079:28] 通过亚马逊广告的数据
[079:30] 我们发现了一些洞察和机会点
[079:32] 那么这些洞察和机会点
[079:34] 它具体落实到广告的投放上
[079:37] 尤其是比如说广告打法
[079:39] 以及广告架构上
[079:40] 到底它应该怎么去做呢
[079:42] 在这里我们不妨听听二秒老师
[079:44] 他来自于实战的这些经验
[079:47] 那么总结出来的这种广告的适合的打法和架构
[079:51] 好的
[079:53] 那我们先来看季节性服饰的一个新品期的重点是什么
[079:58] 那它的重点呢
[079:59] 这时候就要让系统和用户看懂
[080:02] 这个衣服穿在身上是什么感觉
[080:05] 就不是先去强大流量
[080:06] 而是先验证
[080:08] 验证什么呢
[080:09] 就第一个系统是不是开始把你往正确的方向理解
[080:13] 第二个呢
[080:14] 就是系统看到你以后
[080:16] 能不能立刻建立上身想象
[080:18] 就是看到这个衣服想象我也穿
[080:21] 我穿上也是这么好看
[080:22] 那像我之前的那个彩科的连衣裙
[080:25] 第一次的问题就是我太着急先铺亮了
[080:28] 结果系统都还没看懂
[080:30] 所以后来我调整的时候呢
[080:32] 思路是这样的
[080:33] 关键词依然是新品期的地基
[080:36] 就是在投关键词的时候
[080:38] 它的核心不是一上来就投最大的词
[080:41] 而是先把季节性的核心词和常见词
[080:45] 分为词这种常委的词收进去
[080:49] 那SP这种手动的关键词给到的预算
[080:52] 大概是在35%左右
[080:54] 在商品投放的这个阶段呢
[080:56] 也不只是去拿
[080:58] 不只是为了拿流量
[081:00] 更是在告诉系统
[081:01] 我到底是属于哪一种的搭配关系
[081:04] 属于哪一类的场景
[081:07] 就是你可以把它理解成
[081:09] 这是在补系统对你周边语境的一种认知
[081:12] 因为服饰类的产品
[081:14] 系统对你的理解
[081:15] 它不只是来自观念词吗
[081:17] 还来自你经常和谁一起出现的
[081:19] 那这里的给的预算可以在20%左右
[081:23] 自动广告呢
[081:24] 在新品期
[081:25] 它更重要的价值是让你去看
[081:27] 系统到底有没有开始正确的理解
[081:30] 对就是把你理解对
[081:33] 如果说它跑出来的词
[081:35] 就比较接近你想表达的风格和场景
[081:39] 说明方向就对了
[081:40] 如果它越跑越泛
[081:41] 那就说明你的这条listing
[081:43] 还有素材没有讲清楚
[081:45] 系统还在乱世
[081:46] 所以自动广告在这个阶段
[081:48] 更像是一个验证器
[081:49] 预算分配可以给到15%左右
[081:53] 那新品期呢
[081:54] 我还是会更偏向SPV
[081:56] 但是素材会做得更吸引人
[081:58] 因为季节性服饰的新品期
[082:01] 它这个视频尽早上来是特别关键的
[082:04] 它本来就特别依赖穿上是什么感觉
[082:08] 那视频的动态展示效果会更好
[082:10] 所以说这个视频的任务
[082:12] 不是说拍的有多大片
[082:14] 而是尽量真实多角度的
[082:16] 干净整洁
[082:18] 就是把版型材质上升的效果
[082:21] 动态的感觉给它表现清楚
[082:24] 那这里给到的预算可以在30%左右
[082:27] 所以总的来说呢
[082:29] 新品期它不是不能先去抢流量
[082:32] 而是先用SP给它写身份标签
[082:35] 然后用这种视频
[082:36] 更多的视频素材去建立一种想象
[082:40] 然后关于这个预算的比例呢
[082:43] 还是先补充一下
[082:45] 它不是一个固定的模板
[082:46] 它只是一个阶段性的预算的重心参考
[082:49] 大致的一个比例
[082:51] 这个判断该怎么分
[082:53] 主要是看三件事
[082:54] 第一个就是现在这个阶段
[082:56] 最重要的任务是什么
[082:58] 第二个点就是你的这个产品
[083:00] 当前最缺什么
[083:02] 是曝光点击还是转化
[083:04] 就是你对于自己的产品
[083:07] 要有一个清晰的认知
[083:08] 第三个点呢
[083:09] 是这个节点的竞争强度
[083:11] 还有利润空间
[083:12] 它够不够支撑
[083:13] 所以这个比例的重心
[083:16] 就是本质上
[083:17] 就是你要非常清楚
[083:18] 这个阶段钱应该花在哪个任务上去
[083:21] 所以后面的这种分配比例
[083:24] 大概也是这个思路
[083:25] 就不多说了
[083:27] 然后到了成长期呢
[083:29] 它的重点就不是在继续的去测试
[083:33] 而是把已经验证过的这种风格和场景放大
[083:37] 因为前面如果说新品期已经做对了
[083:40] 所以你的这个已经就是手头上已经有了任何答案
[083:45] 哪些词能够真正带来好的成交
[083:48] 哪些风格和场景
[083:49] 它是主方向
[083:50] 哪些词就只是一个热闹的氛围
[083:54] 就是不值得放大
[083:55] 那就要及时的给它否掉
[083:57] 所以成长期的关键词
[083:59] 它就是主要任务就是去放大
[084:02] 把我们在新品期已经跑出来的好词
[084:06] 给它稳稳的接触
[084:07] 尤其是高点击高转化
[084:10] 然后往内逐步的去往精准和核心词组里面去放
[084:16] 然后呢
[084:17] 这时候可以去去抢那个更靠前的位置
[084:21] 然后你的这个减价应也不会太高
[084:24] 这里呢会增加10%的一个礼品属性的词
[084:27] 这一层是为了辅助放大它的这个效果
[084:31] 因为这个这时候会比较适合在主身份比较稳定的基础上
[084:37] 再去接就是拓宽你的这个场景的边界
[084:41] 然后和礼品的一些属性
[084:44] 但是一定要注意这个礼品流量
[084:46] 它只是一个辅助
[084:47] 嗯
[084:48] 不能把它
[084:49] 就就有
[084:50] 就是如果说到了某个节点
[084:52] 某个
[084:54] 就是到了某个
[084:56] 就是节日
[084:58] 它的这个效果
[084:59] 这个词的效果可能会比较好
[085:01] 也也
[085:02] 就是节日过去之后
[085:04] 一定要去把它给收回来
[085:06] 这个就是你产品的这个主身份
[085:08] 一定不能给它弱化了
[085:10] 所以这个阶
[085:12] 然后这个阶段的商品投放呢
[085:14] 可以更主动一些
[085:15] 就是
[085:16] 就是用强势
[085:19] 就找一些比较强势的净品去抢曝光
[085:22] 然后找弱势的净品去抢转化
[085:24] 因为服饰类的用户
[085:27] 他本来就会去对比款式啊
[085:29] 对比风格
[085:30] 价格评价
[085:31] 所以都可以去
[085:33] 去考虑这些净品
[085:36] 然后自动广告呢
[085:37] 降比可以去降低一些
[085:39] 它这时候就不再是
[085:41] 呃
[085:41] 偏向验证
[085:43] 系统去验证理解的主工具了
[085:45] 更多是在测试
[085:46] 有没有新的入口
[085:48] 好
[085:49] 成长期呢
[085:50] 这时候会把就是
[085:51] 成长期的品牌广告
[085:53] 比重会拉高一点
[085:55] 去用更多的真实穿搭视频
[085:57] 去刺激点击和转化
[086:00] 好
[086:03] 到了成熟期呢
[086:04] 成熟期的重点就是继续放大
[086:07] 前面沉浸下来的这些视觉啊
[086:10] 还有口碑的一些优势
[086:11] 同时准备收尾了
[086:13] 这个时候的广告重点
[086:15] 就是一定要把钱
[086:17] 尽可能的把前面积累下来的优势
[086:20] 给它吃透
[086:21] 并且为这个忘记的结束窗口做准备
[086:24] 那如果落到广告工具上呢
[086:27] 大概会差不多给30%的预算
[086:30] 给手动的关键词
[086:32] 因为这个时候手动的词它已经更聚焦了
[086:35] 就重点一定要守住那些验证好的高转化词
[086:40] 把低效的再慢慢给它缩减掉
[086:43] 同时还是要就是
[086:44] 否刺的这个动作
[086:46] 它是一个持续性的
[086:48] 因为我们肯定要接
[086:49] 就是你的那个搜索词报告
[086:51] 肯定要经常看到
[086:52] 你可以一周去集中看一次
[086:56] 然后就是一个定期去好好看一下
[087:00] 不是说否一次就不用再看了
[087:03] 然后你的品牌词和核心的风格词也要给看住
[087:06] 就尽量的自己守住这些词
[087:09] 别让太多的鉴品给截留
[087:11] 那品牌的广告比重会拉的更高一点
[087:15] 就也是在40%左右
[087:18] 这个时候就像就是可能消费者就会更看
[087:22] 有没有视觉的新鲜感
[087:24] 有没有更好的内容
[087:25] 所以这个时候成熟期你不是说在重复前面同样的素材
[087:31] 而是去更新类似的
[087:33] 可以换模特呀换场景
[087:35] 就去给更新一些一些视频素材
[087:39] 那商品投放呢
[087:41] 也是要更可以偏防
[087:43] 也是防守型的
[087:45] 一部分可以拿来投自己其他
[087:47] 店铺里的其他同类型的Ason
[087:50] 做内部的流量防守
[087:51] 那另一部分呢
[087:52] 继续投一些弱势的竞品
[087:54] 把看能不能再接住一些
[087:57] 就是接一些转化机会
[087:59] 然后还有15%的比例
[088:02] 大概会留给这个SD广告
[088:04] 这时候展示型的广告
[088:06] 它更像是去接前面已经看过的
[088:10] 但是还没有买的人
[088:11] 然后去就是承接之前
[088:13] 嗯
[088:14] 就是去追加一些购
[088:16] 看能不能再去追加的人购买
[088:18] 好
[088:22] 然后这里前面就是
[088:26] 讲过了这种新品期成熟期
[088:28] 成长期和成熟期的站内的广告
[088:31] 分别承担不同
[088:33] 什么样不同的广告任务呢
[088:35] 那大概是了解了这种广告的一些思路
[088:39] 但是对于服装服饰类的产品来说
[088:42] 如果说只停留在站内的话
[088:44] 其实还不够的
[088:45] 因为它本来就特别依赖视觉效果
[088:48] 而且它的销售窗口又非常的集中
[088:51] 所以如果说只按了
[088:53] 按照这种站内的广告生命周期去打
[088:56] 是确实不太够
[088:58] 所以我们这里还想再补一个广告加速器
[089:01] 站外的一个联动
[089:03] 在有限的窗口内
[089:04] 是怎么去更快的完成种草
[089:07] 更快的去验证
[089:09] 视觉的一些素材
[089:11] 更早的去建立信任感
[089:13] 那大概的思路呢
[089:14] 就是第一个
[089:15] 怎么去种草呢
[089:17] 我们可以找一些真人穿搭
[089:19] 去达人上身的视频
[089:21] 它会比站内的
[089:23] 你自己卖家给的图文
[089:25] 更容易让用户先带入穿上去的样子
[089:28] 就如果有条件的话
[089:30] 可以自己去站外做建林
[089:32] 其实不用找那种特别大的网红
[089:35] 就只要是当地的
[089:36] 就是只要它的账号就是比较垂直
[089:40] 其实不用太多的粉丝也是可以的
[089:42] 只要他愿意做这种穿搭
[089:44] 然后其实这个素材
[089:46] 我们现在利用那种AI的工具
[089:49] 也可以生成很多
[089:50] 但是尽可能还是要真实
[089:52] 就是那种真实的场景感会更好
[089:55] 第二个呢
[089:56] 就是去测素材
[089:57] 它这个你的这个产品
[090:00] 它适合哪种哪种场景更好
[090:03] 哪种表达更容易打动人
[090:05] 那如果说你自己本身就有这种账外的账号
[090:08] 你也可以自己去得到更快的反馈
[090:12] 就是或者是去放更多的那些素人的账号
[090:16] 就是找一些更多的素人
[090:17] 你就会比较快的了解到哪种素材会更适合
[090:21] 然后再把这个素材呢
[090:23] 放到自己的列星上
[090:24] 第三个呢
[090:25] 就是去建立信任感
[090:27] 这种服饰类的消费者
[090:30] 他就很害怕
[090:32] 图片很好看
[090:33] 但是穿在我身上的样子就就很丑
[090:36] 就不好看
[090:37] 那肯定要给差评了
[090:38] 所以你站外上身的那个效果
[090:42] 如果说更真实
[090:44] 找到更适合的人群呢
[090:45] 他就会有那种所见即所得的一种信任感
[090:48] 那做这种站内和站外
[090:55] 他怎么联动和成绩呢
[090:56] 就是要注意站内
[090:59] 站外讲的这个场景和表达
[091:02] 和站内讲的是同一个概念
[091:04] 是有一致性的
[091:07] 什么意思
[091:08] 就是说
[091:09] 比如你在站外展示的
[091:10] 是适合度假的裙子
[091:12] 就传递的是一种轻松度假
[091:14] 很舒服的感觉
[091:16] 结果用户点进去站内之后
[091:18] 又看到你的这个文案视频
[091:21] 又在讲那种很性感的约会的裙子
[091:24] 这就非常的冲突了
[091:25] 用户也会犹豫
[091:27] 所以站外和站内呢
[091:29] 他不能各讲各的
[091:31] 合适的思路应该是
[091:32] 在旺季之前
[091:34] 用站外把视觉方向先验证出来
[091:36] 再旺季中间呢
[091:38] 就由站内去承接和翻大
[091:41] 再旺季之后
[091:42] 再营销把这波流量价值给它拉长
[091:46] 如果落到动作上面呢
[091:48] 我们可以去这样做
[091:49] 首先呢
[091:51] 一定要选合适的渠道
[091:52] 就像JS
[091:54] SWR这种强视觉导向性的产品
[091:57] 我们可以先去看TikTok
[091:59] Instagram
[092:00] 如果是那种多款式的
[092:02] 很有氛围感的
[092:04] 也可以看Pinterest
[092:05] 然后这里呢
[092:06] 我想分享一下
[092:07] 我今天刚看到的一个
[092:09] 特别好的一个视频广告
[092:11] 就是我在刷这个Pinterest
[092:13] 找灵感的时候
[092:14] 看到了一个
[092:15] 然后跟大家分享一下
[092:17] 好
[092:28] 就是我在刷这些灵感
[092:29] 这个就是Pinterest的网站
[092:31] 然后看到了一个这个视频
[092:33] 你可以看一下
[092:34] 就是应该可以看到吧
[092:36] 右下角的这个
[092:38] 正好也是裙子
[092:42] 8秒的视频
[092:44] 展示了4个裙子
[092:46] 4个裙子
[092:46] 而且是很有氛围感的
[092:48] 点进去看呢
[092:49] 它是一个独立站
[092:50] 这个是独立站
[092:51] 但是就是在Pinterest上面
[092:54] 也有很多亚马选顿的投放
[092:57] 所以我们就可以参考这种方式
[092:59] 去做这种视频
[093:01] 就它就一眼就吸引到我
[093:04] 吸引到我
[093:05] 我就会点进去看
[093:06] 它的独立站是这样的
[093:09] 好
[093:10] 那继续往下讲
[093:20] 这个渠道
[093:23] 可以选合适的渠道
[093:24] 第二个呢
[093:25] 就是内容一定要聚焦
[093:27] 上升的效果
[093:28] 在外最重要呢
[093:30] 最重要的
[093:31] 它不是讲一堆的卖点
[093:33] 还是要先回答
[093:34] 消费者最在意的那个问题
[093:36] 我穿上去
[093:37] 到底是什么样子的
[093:38] 所以说
[093:39] 真人的视传视频
[093:40] 多体型的模特的上升图
[093:43] 这类的内容
[093:44] 会比较更高效一点
[093:45] 第三个呢
[093:46] 是可以先小批量的内容
[093:49] 去测试颜色呀
[093:50] 款式和场景
[093:51] 去测试哪种颜色
[093:54] 哪种款式
[093:55] 它的互动会更好一些
[093:58] 然后就是测出来之后
[094:00] 再去反过来
[094:01] 用到我们站内
[094:02] 第四个呢
[094:03] 是站内和站外的表达
[094:05] 一定一定要统一
[094:06] 第五个呢
[094:08] 就是我们可以给
[094:09] 这个站外的
[094:10] 如果说有
[094:11] 有这种
[094:12] 合作的站外的达人
[094:14] 就要有专属的折扣码
[094:16] 也可以去看
[094:18] 站外到底能够带来
[094:19] 多少真实的贡献
[094:21] 第六个呢
[094:22] 就是忘记之后
[094:24] 也不要立刻的去断掉
[094:26] 可以用
[094:27] SD广告呀
[094:29] 还有DSP
[094:29] 去定向前面这波
[094:31] 已经看过的
[094:32] 买过的人
[094:33] 去给他拖
[094:34] 推那种
[094:35] 多色的
[094:36] 多款式的
[094:37] 然后把这个产品的
[094:39] 销售周期
[094:39] 尽量再拉高一点
[094:41] 就是这个广告
[094:42] 所以站外的价值
[094:44] 它就在于
[094:45] 先帮你
[094:45] 先帮你把这个
[094:46] 视觉的方向
[094:48] 先测
[094:48] 测到你
[094:50] 测出来
[094:51] 然后把上身
[094:52] 穿在身上的
[094:53] 这种信任感
[094:54] 建立起来
[094:55] 然后再让站内
[094:56] 去接住这批
[094:57] 已经被打动的人
[094:58] 好了
[095:00] 好的
[095:02] 非常感谢
[095:02] 二秒老师的分享
[095:03] 那通过刚才的分享
[095:04] 我相信大家呢
[095:05] 去整体的去理解了
[095:08] 像季节性的产品
[095:08] 以JS为例
[095:09] 它的一个广告的
[095:10] 核心打法
[095:11] 那简单总结一下
[095:12] 在季节性的产品上的话
[095:14] 我们刚刚看到了
[095:15] 我们需要做好什么事情
[095:16] 第一个是要去做
[095:17] 提前蓄水和蓄力
[095:18] 然后去做忘记的转化
[095:20] 那因此的话
[095:21] 在新品期的话
[095:21] 我们发现
[095:22] 我们要做好的一个事情
[095:23] 就是通过SP
[095:25] 来帮我们去写清身份
[095:26] 那么通过SP
[095:27] 来帮助消费者
[095:29] 去建立想象
[095:30] 那么在成长期的时候
[095:31] 刚刚二秒老师
[095:31] 有讲到
[095:32] 在旺季的时候的话
[095:33] 我们需要去做好SP
[095:34] 加SB的一个协同放量
[095:36] 那么到了成熟期之后
[095:37] 加大SP的投放
[095:39] 来去放大
[095:39] 我前面已经积累的优势
[095:41] 那么最终去把握好
[095:42] 我最后一波的旺季流量
[095:44] 所以这个过程的话
[095:46] 是我们刚刚讲到的
[095:47] 在三个阶段
[095:48] 二秒老师分享了
[095:49] 一个广告打法
[095:50] 那整体贯穿
[095:52] 三个阶段的一个核心
[095:53] 还是回到
[095:54] 产品利益是一定要先行的
[095:56] 包括视觉上
[095:57] 一定是要去做好的
[095:58] 也就是我们的产品表达
[095:59] 是要做清楚的
[096:00] 所以这个部分的话
[096:01] 是刚才老师
[096:02] 通过他的一个整个分享的话
[096:04] 我相信大家
[096:04] 对积极型的产品的广告打法
[096:06] 应该是有了一定的认知
[096:07] 那么我们就接下来
[096:09] 去进入到下一个部分的
[096:10] 但是在进入到下个部分之前
[096:12] 我们先来看看
[096:13] 说现在目前
[096:14] 在聊天框框的一些
[096:16] 卖家朋友们的提问
[096:17] 首先第一个
[096:18] 先来看一下
[096:19] 第一个是来自于视频号的一个提问
[096:21] 这位卖家问说
[096:22] 以关键词出单为主
[096:24] 且同质化较严重的商品中
[096:26] CPC被抬升过高
[096:28] 这个困境该如何解决
[096:30] 我不知道这个卖家
[096:31] 您还在不在线
[096:32] 但是的话
[096:33] 我先简单说一下
[096:34] 第一个通过你的这个描述
[096:35] 我可以基本上断定
[096:37] 你应该是一个
[096:38] 以标品为主的产品
[096:40] 对吧
[096:40] 因为关键词出单
[096:41] 且同质化比较严重
[096:42] 而且你CPC是抬得很高了
[096:44] 那么大概率
[096:45] 你应该也是说的是SP的
[096:46] 一个投放的
[096:47] CPC是比较高的
[096:48] 那为什么会这个样子呢
[096:50] 首先很简单
[096:51] 因为所有人都在追
[096:52] 那个搜索结果首页的位置
[096:55] 那么这个时候的话
[096:56] 大家肯定都会去
[096:57] 去做这个核心词
[096:59] 和这个关键词的
[097:00] 这样一个相关的投放
[097:01] 所以这个CPC
[097:02] 一定是会被
[097:03] 大家都会去抬
[097:04] 因为大家都在抢这个位置
[097:05] 但是我在想说
[097:06] 你有没有可能性
[097:07] 去尝试着换一个思路
[097:09] 就当你在这样一个位置上
[097:11] 你很难抢的时候
[097:12] 或者说你
[097:12] 你会发现CPC越来越高
[097:13] 你觉得你再去投的话
[097:15] 你已经是属于一个
[097:16] 没有办法去引力的状态的时候
[097:18] 我们不妨去看看SB
[097:19] 因为你要做的事情
[097:20] 其实无非就是说
[097:21] 你希望能够出现在
[097:22] 一些好的位置上
[097:23] 对吧
[097:24] 那么当你要想出现
[097:25] 好的位置上的时候
[097:26] 其实你再反过来
[097:27] 去看一下SB的一个CPC
[097:28] 你会发现说
[097:29] 同样的位置
[097:30] 甚至是比SP更好的位置
[097:32] 我们都知道SB
[097:33] 有一个投放位置
[097:34] 叫做搜索结果首页的
[097:35] 那个位置对吧
[097:36] 在SP的投放
[097:37] 就那个一个个产品
[097:39] 它的一个展现位置
[097:40] 其实再往上走
[097:41] 那个是SB的一个位置
[097:43] 那个位置的话
[097:44] 其实有些时候
[097:44] 如果是像涉及到您的
[097:46] 这类型产品的话
[097:47] 你可以去反向去看一下SB
[097:48] 因为SB其实反而在
[097:49] 这样的过程当中
[097:50] 它可以帮你去绕开
[097:51] SP的高竞价的
[097:53] 这样一个红海的
[097:54] 竞争的状态
[097:55] 来去帮你去找到一些
[097:56] 更适合的位置
[097:57] 而且那个位置
[097:58] 其实更好
[097:59] 所以说如果你是这样
[098:00] 一个类型的卖家的话
[098:01] SB是你的一个
[098:02] 投放的一个出口
[098:03] 那么并且还有一个点
[098:06] 是你把整体的链接的
[098:07] 一个订单推高了之后的话
[098:09] 其实你在SP上的
[098:11] 投放的话
[098:11] 也会产生一个
[098:12] 协同的作用
[098:13] 包括SP的一个流量的位置的话
[098:15] 你也是会
[098:16] 逐步的往上走的
[098:17] 所以虽然我们SB
[098:18] 没有办法去直接
[098:19] 去推你的排名
[098:20] 但是的话
[098:21] 它通过带整体
[098:22] 链接的订单量
[098:24] 它是可以去帮你
[098:25] 去做好SP的
[098:26] 一些投放效果的提升的
[098:28] 所以这个的话
[098:28] 是我觉得在这个
[098:29] 卖家上
[098:30] 我想给你的一个建议
[098:31] 当然还有其他
[098:32] 更多的投放的方式
[098:34] 和解决的方案
[098:34] 我们可以在后面的话
[098:36] 再去慢慢去聊
[098:37] 好
[098:38] 然后再来看第二个
[098:40] 视频网号的留言
[098:41] 这个卖家说
[098:43] 从旺季顶峰到
[098:44] 平缓期
[098:44] 这个阶段
[098:45] 销量下降
[098:46] 广告该怎么去调整
[098:48] 这个阶段
[098:49] 会有大部分的竞争对手
[098:50] 由于被货多
[098:51] 导致价格和CPC都变低
[098:53] 对的
[098:54] 你说的很对
[098:55] 这个部分的话
[098:56] 也是在我们的
[098:56] 第二个部分
[098:57] 就是去针对于
[098:58] 周期性的产品
[098:59] 因为你讲的这个问题
[099:01] 就如果说
[099:01] 它是在旺季的
[099:02] 旺季过了之后
[099:03] 它会到一个
[099:04] 就是低股期
[099:06] 但是在这个低股期
[099:08] 如果它还是会有
[099:09] 一定的出单量的话
[099:10] 那说明这个产品
[099:11] 它可能会是
[099:12] 我们刚刚
[099:13] 我们接下来要去讲到
[099:14] 第二个类型的产品
[099:15] 叫做周期性的产品
[099:16] 就even是在低股期的时候
[099:17] 它也会有些
[099:18] 偶发的出单
[099:19] 或是一些
[099:20] 比较低量的
[099:22] 不像高峰期
[099:22] 就忘记起
[099:23] 那么多的出单量
[099:24] 那么这个时候
[099:25] 我们其实对
[099:26] 这类型的产品的
[099:27] 广告投放的话
[099:28] 待会也会给到
[099:29] 一个具体的建议
[099:29] 那总而言之的话
[099:31] 我就我这里
[099:31] 就先不剧透了
[099:33] 我们就待会来
[099:34] 去听一听这个部分
[099:35] 好
[099:35] 然后再来看看
[099:37] 还有卖家
[099:38] 然后还有卖家在问说
[099:39] 整个课程的PPT能不能发
[099:41] 那这里的话
[099:42] 我也把这个二维码
[099:43] 投一下
[099:44] 大家可以把这样一个
[099:45] 页面做一个截图保存
[099:47] 整个系列课程的话
[099:48] 我们的所有课程的
[099:50] 直播课
[099:50] 以及直播期间
[099:52] 我们讲到的这些内容的话
[099:53] 最后都会去
[099:54] 把它上传到
[099:55] 这样一个专题页面当中
[099:56] 所以大家可以
[099:57] 把这个二维码
[099:58] 保存下来
[099:58] 因为现在我们还在把
[099:59] 这些所有的课程
[100:01] 在结束的之后
[100:02] 还需要去做一个
[100:03] 视频的剪辑
[100:03] 包括相关的PPT的话
[100:05] 也要去把它做成一些
[100:06] 线上可以去看的版本
[100:08] 所以说的话
[100:09] 时间上的话
[100:09] 会稍微置后一点点
[100:11] 但是的话
[100:11] 大家可以
[100:12] 先把它保存下来
[100:13] 收藏起来
[100:13] 然后等到后续
[100:14] 你有时间的时候
[100:16] 我们可以进入到
[100:17] 这个你的个人的
[100:18] 收藏夹当中
[100:19] 你就能够很快的
[100:20] 找到这个专题页面
[100:21] 然后这个专题页面的话
[100:22] 会把所有的课程的内容
[100:24] 直播的这个视频
[100:26] 还有就是
[100:27] 涉及到的
[100:28] 这种讲解的材料的话
[100:29] 都会上传上去
[100:30] 所以大家可以把这个页面
[100:32] 去做一个保存
[100:32] 好
[100:34] 然后我们就回过头来
[100:36] 就赶紧进入到下一个部分
[100:38] 因为时间已经过了
[100:40] 一个多小时了
[100:41] 我们每一次讲这种
[100:42] 我们这几次课程
[100:44] 都是讲了这么长时间
[100:45] 因为美国的服饰品
[100:48] 确实是相对来讲
[100:49] 它的细分赛道也比较多
[100:51] 然后说实话
[100:52] 每个类型的答法
[100:53] 还真的不太一样
[100:54] 所以我们也没办法
[100:55] 拿一个答法来去
[100:57] 总体讲服饰品
[100:59] 该怎么做
[100:59] 所以每节课
[101:00] 我们的课程时长
[101:01] 都会比较长一些
[101:02] 所以我们就不耽误时间了
[101:04] 我们就进入到下一个部分
[101:05] 去看看周期性的产品
[101:07] 因为刚刚我们已经分享过了
[101:08] 季节性的
[101:09] 那我们就来看看
[101:10] 周期性的产品
[101:10] 那么它的答法
[101:12] 为什么跟季节性
[101:13] 是完全不同的
[101:14] 我们一起来看一下
[101:15] 首先第一个
[101:17] 还是先回到
[101:17] 就是消费者本身的需求
[101:19] 因为我们做所有事情的话
[101:20] 都得先要回到消费者
[101:22] 从对于这个产品
[101:24] 它的一个需求点上
[101:25] 来去出发的
[101:26] 那么在这个类型的产品上
[101:28] 周期性服饰的产品
[101:29] 美国消费者的需求
[101:31] 刚刚我们有讲过
[101:32] 在第一个部分有聊到过
[101:33] 他们其实更多的追求的是
[101:35] 第一个
[101:35] 买的值吗
[101:36] 用的久吗
[101:37] 它的体验好吗
[101:38] 那么核心的问题
[101:39] 还是会回到三个点上
[101:40] 第一个
[101:41] 价格划不划算
[101:41] 它的质量能撑
[101:43] 能撑多久
[101:44] 还有就是它的功能体验好吗
[101:46] 那在整个这样一个
[101:48] 对应着消费者的购买路径当中呢
[101:50] 我们就可以看到
[101:51] 广告在这个过程当中
[101:53] 有几个关键的环节上
[101:55] 它是需要发挥
[101:56] 它自己的独特的作用的
[101:58] 首先第一个
[101:58] 当消费者看到广告的那一刻
[102:00] 我们能不能够通过广告
[102:02] 通过产品来去凸显
