[000:00] 好 我看现在逐步有卖家朋友们已经进入到直播间了
[000:20] 那首先第一个也是非常感谢大家在今天下午的时间能够抽出两个小时
[080:09] 包括呢
[080:10] 品牌的一个其他类型的广告的格式的话
[080:13] 我们都可以给它分配上
[080:14] 要多的预算
[080:16] 百分之三十预算
[080:17] 那么因为呢
[080:18] 链接初期
[080:19] 我们再没有太多个类型数
[080:22] 所以我们需要通过这种
[080:24] 尤其是视频格式类型
[080:26] 相关
[080:27] 向Google快速去传这种产品的信息和卖点
[080:30] 帮助他们打烧一律
[080:32] 但是商品
[080:34] 这个商品推广的商品投放的话呢
[080:37] 我们可以放百分之二十
[080:38] 
[080:38] 我们重要的话
[080:39] 就得去关注一下
[080:40] 这种上下游能够交叉组合搭配的产品呢
[080:45] 包括可能比如说
[080:47] !这个打底库的话
[080:48] 它适用于比如说这种玩艳群
[080:51] 长群
[080:52] 那么
[080:53] 确实
[080:54] 顾客的话
[080:55] 买这种长群
[080:56] 他同时会去使用我们这种产品
[080:58] 所以我们可以把这种关联的流量给他
[081:01] 用到商品推广里面去做个展示
[081:04] 当然的话呢
[081:05] 自动往里面分配百分之十
[081:06] 预算的话
[081:07] 是用来帮助我们去查漏补缺
[081:10] 并且呢
[081:11] 去积累一些我们之前没有抓渠道的一些数据
[081:16] 这是新品期
[081:17] 我们呢
[081:18] 所需要考虑的个点
[081:19] 就是低颗单价
[081:20] 短期四个周期的一个基础款
[081:22] 当然的话呢
[081:23] 今天可以给他带来一个小的一个表格
[081:29] 我们也可以去看一下
[081:31] 为什么我这个表格呢
[081:33] 我建议啊
[081:34] 就是大家呢
[081:35] 你在不同的一个产品生命周期里面
[081:38] 去做产品的一个推广的时候
[081:40] 一定要明确一下
[081:42] !就是你到底有多少的预算可以用来去打广告
[081:46] 能够实现我们的一个期望的一个什么呢
[081:50] 预计目标值
[081:51] 比如说我这块举个例子啊
[081:53] 等会我来给大家去看这个表格
[081:55] 先给大家举个例子
[081:56] 比如说我的产品毛利是在百分之四十
[082:00] 那如果呢
[082:01] 我的一个整个的一些仓储呀
[082:04] 或者促销啊
[082:05] 等等的一些
[082:06] 发起达巴的费用
[082:07] 比如说占个百分之十
[082:08] 那么我又希望呢
[082:10] 在这个阶段里面能够拿到
[082:12] 比如说百分之十的一个存储
[082:14] 十的一个存力
[082:16] 那我们可以去思考一下
[082:18] 是不是我们定的一个
[082:20] total e-cost目标值
[082:22] 在有自然和广告
[082:25] 订单
[082:26] 共同的就是促进一下
[082:29] 
[082:29] total e-cost目标值
[082:30] 综合e-cost的话呢
[082:32] 在百分之二十
[082:33] 这样是不是能够达成我最终百分之十的一个利润目标
[082:36] 那我们就可以借助这个表格的话
[082:38] 来去这样子思考一下
[082:40] 这个表格里面
[082:41] 我是给大家套了个公式的
[082:42] 也是凭除我自己在用的这个表格
[082:46] 我们把这个黄色的部分的话
[082:48] 大家可以去填写一下
[082:49] 比如说我们观察了
[082:50] 在现在的阶段里面
[082:52] 比如说我们的产品售价
[082:53] 我就要随便举个利益的
[082:54] 比如说一百美金
[082:55] 那广告订单数和自然订单数
[082:58] 这个里面我们其实能够看到
[083:00] 结果的广告后台里面
[083:01] 我们就可以看一下
[083:02] 在这个阶段里面
[083:04] 我们广告里头一共出了多少个订单
[083:05] 比如说一百个订单
[083:06] 那么结果的业务报告里面
[083:08] 全局道订单
[083:10] 比如说出了有个三百单
[083:12] 那么三百减一百
[083:13] 不能够算出来
[083:14] 自然订单数是两百
[083:15] 我们就可以把自然订单数填到这里面
[083:17] 再去把我们产品的毛利率
[083:20] 填到这个里面之后
[083:21] 我们可以去把现阶段
[083:23] 我们的广告花费填到这里
[083:25] 下方的这个期望目标值的话
[083:27] 我们也是需要去结合我们预计想要达成的一个利润目标
[083:33] 倒推出来
[083:34] 你有多少的一个
[083:36] 因为平衡的或者说达成期望的个目标
[083:39] 通通过依靠指是多少
[083:41] 前路进来
[083:42] 右侧这块的话就可以去看到我们现阶段
[083:45] 还有多少钱可以用来加速到我们广告
[083:48] 活动里面
[083:49] 当然的话呢
[083:50] 如果这个指你算算是个付数的话呢
[083:52] 就说明为了达成你现在的目标值你的广告费是花超了的
[083:57] 那么再从你现在的里面
[083:59] 这么重度的广告类型里面
[084:01] 你可以去考虑优化掉哪些
[084:03] 比如说无法有啥转化顾客的
[084:05] 或者说哪些过于匹配泛的一些流量
[084:09] 那这个工具包的话呢
[084:11] 大家如果想要领取的话呢
[084:12] 也可以去就是添加一下那个我的一个微信
[084:16] 到时候可以发给大家
[084:17] 我把这个微信的话呢
[084:18] 发到公平上方了
[084:19] 那么回到我们的pt界面
[084:21] 当然呢还有其他的工具包也可以找我来领取啊
[084:24] 就是这次的话
[084:26] 分享的话
[084:27] 给大家现在一个小的工具包也是比较好用啊
[084:30] 那么往下来看
[084:31] 新品期我们看完之后
[084:33] 也就是我们做完了初期的一个规划
[084:35] 包括明确的我们用多少钱可以用来去
[084:38] 总投入
[084:39] 按照这个笔值的话
[084:40] 来做一个分配
[084:41] 其实我们就能够算出来我们呢
[084:43] 比如说每一种广告类型的话
[084:45] 给它分配的预算有多少
[084:47] 那么往下个阶段的话
[084:49] 进到成长期
[084:50] 成长期里面的话呢
[084:51] 我们需要重点关注指标
[084:53] 这两个
[084:54] 一个是转化率
[084:56] 另外一个呢
[084:57] 是JS这个指标
[084:59] 我们可以去看一下
[085:00] 因为呢
[085:01] 在成长期里面
[085:03] 品牌的广告类型
[085:05] 投入呢
[085:06] 将会达到一个峰值
[085:08] 并且呢
[085:09] 在这个阶段里面
[085:10] 我们呢
[085:11] 连接的话也会有这个评价的话
[085:12] 逐渐激励
[085:13] 所以呢我们
[085:14] 要进一步快速的话
[085:16] 实现一个
[085:17] 就是快速实现一个转化
[085:19] 提高我们
[085:20] 一个RES这个指标
[085:21] 所以我们在
[085:22] 用的广告策略里面
[085:24] 就是
[085:25] 第一个我们呢
[085:26] 成长期里面
[085:27] 通过手动关注的话
[085:29] 进一步去扩大
[085:30] 我们之前没有覆盖的一些流量入口
[085:32] 那并且呢
[085:33] 通过
[085:34] 品牌的一个推广视频
[085:37] 
[085:37] 预算的话
[085:38] 占底也给它分配的是比较多的
[085:40] 来去进一步提高我们链接转化率
[085:43] 和点击率
[085:44] 那么当这几个率的话
[085:46] 提起来之后我们会发现在这个阶段里面
[085:48] 我们自然流量的话
[085:49] 也会积累的比较快速
[085:51] 所以你去看你的总订单里面的话
[085:53] 其实广告订单占比会发现
[085:54] 它其实
[085:55] 针对于我们全部的业务报告里面
[085:58] 总订单里面的话
[085:59] 它的占比
[086:00] 将会比第一个阶段里面的话
[086:02] 其实会有所下降
[086:04] 因为自然流量
[086:05] 订单占比将会有所提高
[086:06] 因为我们的排名的话呢
[086:08] 在这个阶段里面
[086:09] 也会有的我们的流量入口逐渐扩大
[086:11] 订单量更靠钱
[086:13] 订单量更多
[086:14] 排名的话
[086:15] 也会更靠钱
[086:16] 系统的话
[086:17] 从而给我们匹配的自然流量的话
[086:18] 也会变得比较多
[086:20] 那么商品投放里面的话
[086:21] 我们可以去聚焦一下高转化的一些精品
[086:24] 来去通过我们比如说
[086:28] !打一些弱势的品牌
[086:30] 弱势的一些精品
[086:31] 去抢他们的一个流量
[086:33] 
[086:33] 其实我们针对于我们的链接
[086:36] 对比他们有优势的去投放的时候
[086:39] 也会发现转化率和ROS这个指标的话
[086:41] 也会变得非常好看
[086:43] 那么需要减少一下
[086:46] 在我们这个阶段里面说做完测试之后
[086:49] 比如说一些我们打不过的强势
[086:51] 一些品牌和精品
[086:52] 那这个阶段的话我们可以先放一放
[086:54] 等到下个阶段的话我们再去投放
[086:56] 所以在这个成长期里面重点关注一个转化率和ROS
[087:01] 当然呢你的一个广告类型的话之前没有布局的也需要进一步的话
[087:06] 给他把流量的话进一步扩大
[087:08] 那么在成熟期里面我们来看一下
[087:11] 成熟期里面的话呢我们重点的话就要去放大优质流量了
[087:15] 追求这种比较优质的CPC给我们带来优质的一个转化
[087:21] 那么所以在这个阶段里面的话我们会看到
[087:24] 经过新品期和成长期的一个运营里面
[087:27] 我们的一些Asom的话已经建立了比较多的一个自然流量的优势
[087:32] 当然我用到这个工具的话是把自然流量给大家隐藏了
[087:35] 我们去看一下广告
[087:36] 那自然流量的话会逐渐拿大
[087:39] 在这个阶段里面的话也会变得比成长期要更高
[087:43] 所以我们投放策略里面的话
[087:45] 从之前的扩张的话逐渐会转为保守
[087:48] 也就是结合着什么呢
[087:49] SP加SP的一个关键词投放的话
[087:53] 来达到一个什么呢
[087:55] 放大流量减少这个差距的目的
[088:00] 那么我们在去做预算分配里面
[088:02] 手动分证词核心词一定是给我们带来比较多的曝光的同时
[088:09] 因为我们在初期可能确实核心词抓不下来这个定单
[088:14] 但是呢在这个阶段里面的话
[088:15] 由于电接核心词新词背书也变得比较高了
[088:18] 所以我们在这个阶段里面投放的核心词它的一个效率也会比起来更加好看
[088:25] 那么同时我们也千万不要忘了一个防守啊
[088:28] 一个防守就是我们再去投放这种核心词之后呢
[088:32] 如果我发现某些位置我的效果比如说广告的位置里面有三个位置吗
[088:39] 手页区域这个商品一面三个位置的话哪个位置的话我的效果整
[088:44] 整体表现出来非常优质我也可以呢结合广告为里边的这个Bit加来去让我们预算和侧重网机为这去做一个投放
[088:52] 那么第二个的话就是我们需要减少一下这种低效的流量
[088:56] 就是点击率和转化率确实无法有效拿到转化
[089:02] 那么在这个阶段因为已经进到成功期了
[089:05] 还有我们自然流浪的补充所以呢在这个阶段里面我们就可以控制一下这部分无效或者低效次花费
[089:13] 做到我们更高的或者说维持住我们的一个RUF指标水平
[089:19] 那往下来看
[089:21] 第二个呢就是会分配百分之三十的预算的话放到一个品牌推广视频里面
[089:27] 在我们成长期里面的话其实我们主要还是去做的一些进攻拉量的在这个阶段里面的话
[089:33] 重新期我们更多的是做的一些防守啊去做一个品牌护生盒也就是用的到的广泛比辈可能会比较多
[089:39] 之后的话广泛比辈的品牌名字前面带上一个加号
[089:43] 因为在品牌广告里面的话呢广泛匹配里头他那个加号好像是一个限制服务我们呢
[089:50] 往自己品牌名字比如说肉可我往前头带一个加号确保顾客搜索词里面是一定包含我肉可
[089:56] 那这种的话我既把流量的话做到更加精准也是确保了顾客一搜索带有肉可的
[090:02] 我的一个广告卫将直接呈现给顾客的一个面前做一个品牌的一个流量护生盒
[090:09] 那往下来看的话商品推广里面分配10%的一个预算
[090:13] 那这部分的话呢也是继续打压一下这个品类里面不如我们的一些弱势精品
[090:20] 当然也可以借助多种广告类型出达如果确实效果比较好的
[090:26] 你可以借助这个展示型的一个投放把我们的广告费的话打到什么呢精品的一个产品
[090:34] 比如他的五点下方和购物车下方继续去抢他的个订单
[090:38] 那么同时呢展示广告里边的话呢我们可以去投放一下再营销
[090:42] 因为这份类型产品的话呢基本上顾客的话他也是需要重复购买的
[090:47] 就复购率会比较高些所以呢我们可以针对于一下超过半年以上的顾客
[090:53] 可能又需要这种产品了那我们可以通过呢这种展示型的一个定向投放
[090:59] 并且你也可以结合着这种的一个比如说促销手段
[091:04] 比如说我们的一个品牌定制促销啊
[091:06] 品牌定制优惠券这种的一个促销
[091:09] 也就是头流加上促销和两条腿一起走路进一步提高我们复购和转化
[091:15] 这是在这个低克单价短决策一个功能基础款里边的一个建议
[091:22] 好的谢谢我们的大鹏老师的分享那通过刚刚的分享的话
[091:27] 相信卖家朋友们已经很清楚的了解到了在服饰品类的
[091:31] 长生命周期下的功能基础性的这个产品啊
[091:34] 他的这个广告的运营锚点呢就是建立信任围绕着建立信任去展开的
[091:38] 那么我要建立信任的话我们也基于产品高可能价低可能价
[091:43] 两个方向呢给大家分别去详细讲解了具体广告应该怎么去打
[091:47] 以及你的架构应该怎么去搭建包括在这个过程当中的话
[091:51] 我们也参考到了头部A3的一个成长的一个路径
[091:54] 来去给大家展开了一些广告大方那当然的话如果说您是刚进到我们的直播间的卖家朋友们
[092:00] 可能刚才没有听完或者是说对这个系列的课程非常感兴趣的话
[092:04] 也可以去把这一页截图下来那这一页的二维码的话扫码之后的话
[092:09] 就会进入到亚马区美国服饰这个广告系列课程的专题页面
[092:14] 在这个专题页面里面的话后期我们会把现在的这样一些每一场直播的话
[092:18] 会把它的回放放上去除此之外的话我们每一场的这个课程
[092:23] 现在展示给到大家的PPT的话也会把它放上去
[092:27] 那当然的话刚才大鹏老师也分享了一个非常有用的一个工具
[092:30] 大家如果说感兴趣的话也可以通过这边在聊天框打出来的这个领表格的方式
[092:37] 那么去添加大鹏老师来去领取刚刚大鹏老师给大家展示的这个非常有用的表格
[092:43] 那这里的话也再插播一下大鹏老师的话是来自于盛鸟跨境的明星卖家讲师
[092:49] 那这次的话也是非常感谢大鹏老师能够来参与到我们的这个直播当中
[092:53] 好那我们已经分享完了功能基础型的广告投放之后的话
[092:58] 不如我们就接下来快快的进入到功能配饰性的这个产品
[093:03] 那这类产品的话刚才我们老师在聊到的时候有讲到由于说这部分的产品的话
[093:08] 消费者最关注的购买因素的话是除了性价比质量之外的话还关注它是不是在视觉上
[093:15] 以及是不是符合自己的个性化的这样一个需求的因此的话这部分的产品的话
[093:21] 它在解决的基础需求的同时的话消费者呢他也追求一定的时尚感跟品质感
[093:27] 那么对于这类产品的话广告和运营的关键锚定呢就是在于及时转化
[093:32] 那么在及时转化的这个维度的话我们来看一下整个围绕着消费者的购物决策的路径当中
[093:39] 消费者他关注的这三个问题我们如何通过广告来去回应消费者的这些问题呢
[093:45] 那么可以看一下首先第一个在第一次当消费者在搜索这个产品看到相关的广告之后呢
[093:51] 我们要在这份广告当中呢去传递我们自己本身相对于其他的产品来讲
[093:57] 他除了说视觉上的吸引力之外的话
[094:00] 他是不是真的能够去传递一个超值感
[094:03] 那么这是第一个可以帮助我们去吸引点击的那进入到了listing之后的话
[094:08] 我们需要通过listing的这样一个描述也好图片也好来帮助消费者去理解到在这样一个超值感的产品下
[094:16] 它依然是一个靠谱的东西所以说要去消除消费者对于廉价上的一个顾虑
[094:21] 那当然第三个还有很重要的就是这类产品的话
[094:24] 因为我们的卖的时间周期非常长
[094:26] 那消费者在使用完了之后的话
[094:28] 他其实如果对你的产品和品牌有一定的信任度之后呢
[094:31] 那么我们在未来的这个长的运营周期当中
[094:35] 因为它是一个长生命周期的产品
[094:37] 它可以卖到三亿以上
[094:39] 那么这类型的产品的话
[094:40] 我们要加强它的一个回购和复购
[094:42] 以及针对于这里产品的话
[094:44] 去做一些复购的不同场景的需求的挖掘
[094:47] 所以说整体而言
[094:49] 我们可以看到这类型的这个产品
[094:52] 它的广告呢
[094:53] 是需要围绕着超越性价期望的性价比来展开的
[094:57] 那具体怎么去把超越期望的性价比来去做一个落地呢
[095:04] 这里的话我们也请大朋友老师来分享一下
[095:06] 好的
[095:08] 那么下面呢我们来看一下长生命周期这里边的一个功能配饰的这种类型产品
[095:14] 其实呢我们围绕这两
[095:16] 围绕这种类型产品的话呢
[095:18] 其实我们可以来去看一下把它分为两个类
[095:21] 一个是这种季节性的一个功能配饰
[095:24] 比如说以Sunglasses为例
[095:25] 那么基本上这种类型产品的话呢
[095:28] 它的主要搜索高峰期的话是在67月份
[095:31] 那么新品上架之后的话可能仅仅只有两三个月的一个虚立船口
[095:37] 那所以我们如果做的这种类型产品的卖家呢
[095:41] 你的一个主要目标就是
[095:43] 短时间内快速的话去抢占流量抢占坑位
[095:49] 那么并且呢去建立一个市场任职
[095:52] 那如果是无季节性的这种功能性配饰类型产品
[095:56] 比如说那它领带领节
[095:58] 那这种的话呢它全年需求比较稳定
[096:01] 基本上呢每年的话就是七月份和十至十二月份
[096:05] 它会有一个所高峰
[096:06] 但是呢平常周期的话呢相比较而言的话
[096:09] 对比这种Sunglasses的话呢
[096:11] 它的需求量还是比较趋于稳定的
[096:13] 所以呢我们就可以借助这种关联的品
[096:17] 比如说这种Foot
[096:20] 刚才我们说到的这个西服
[096:22] 因为能够组合搭配一起使用的
[096:25] 就借别的一些品类的一些趋势搜索趋势呢
[096:29] 来去带动我们自己一个订单量的产出
[096:32] 那么下面呢我们来把这块呢
[096:34] 拆开来看一下啊
[096:37] 好的
[096:38] 那我们就接下来就拆开来看一下
[096:40] 这两个类型的产品
[096:42] 它的头部A-SEN到底是怎么样的
[096:44] 那这部分的数据的话是来自于亚马逊广告
[096:47] 在今年首次给到大家第一次把它公开的一个数据
[096:51] 那这个数据当中我们现在看一下季节性的功能配饰款的产品
[096:54] 我们以Sunglasses为例来看一下
[096:56] 在美国服饰品内下长生命周期
[096:59] 富有季节性的功能配饰款的产品当中
[097:02] 头部A-SEN这个25%的头部A-SEN跟尾部A-SEN它的一个对比
[097:07] 那在这个对比图上的话
[097:08] 依然也是一个很有意思的现象
[097:11] 我们会发现头部25%的A-SEN它是在很长一段时间内
[097:15] 都是持续一个稳定增长的态势
[097:17] 到达33个月才开始到达它的最高峰值
[097:21] 那么到了最高峰值之后呢
[097:23] 开始逐步下降
[097:25] 那又变的这个呢是美国服饰Sunglasses这个类目
[097:29] BOTN也就是尾部的25%的A-SEN
[097:31] 那这个尾部的25%的A-SEN我们可以看一下
[097:35] 它整个生命趋势的话
[097:37] 是在第十一个月销售达到峰值之后
[097:39] 就开始快速衰退
[097:41] 并且不再往回走
[097:43] 就是它没有再往回反复的这样一个趋势
[097:45] 那这里的话当然也要说明一下
[097:47] 刚才有可能有一些卖家也在问说
[097:49] 诶怎么觉得
[097:51] 头部A-SEN这个是不是它的销量
[097:53] 还不如旁边的这个尾部A-SEN
[097:55] 这里的话要给大家做一个澄清
[097:57] 大家可能看到左右两张图
[097:59] 它是有重坐标的
[098:01] 那这个重坐标的话
[098:02] 其实是它们的销售额的这个值
[098:05] 那因为数据保密的原因
[098:07] 我们没有办法在这里给大家展示具体的这个重轴坐标
[098:10] 它的一个坐标值是多少
[098:12] 但是的话
[098:13] 我们想说明的是其实这个重坐标的这个数值
[098:17] 两边是完全不一样的
[098:19] 所以说的话
[098:20] 我们不用以这个现在看到的这个趋势图来误以为
[098:23] 说头部A-SEN它在刚开始的时候
[098:25] 它整体销售不如微波A-SEN
[098:27] 它我们不能做这样一个对比
[098:29] 就是不能简单的以左右两张图的高低
[098:32] 来判断说它的销售大于多少
[098:35] 那么我们其实这里采用的所谓的头部A-SEN
[098:38] 微波A-SEN的话
[098:39] 都是按照它们的一个销售值来去划分的
[098:42] 那么在划分当中就明显的看得到头部A-SEN它在前期的话
[098:46] 它是一个整体前往上在走的
[098:49] 所以这里的话
[098:50] 我们主要是关注曲线的一个形式和趋势
[098:53] 以及它在生命周期各个阶段的这个数据差异
[098:57] 好
[098:58] 那么还是回到这里
[098:59] 我们可以看一下
[099:00] 在这里的话会发现
[099:01] 以季节性功能配置管向Sunglasses为例
[099:03] 我们会发现头部Ason的话
[099:05] 相对于尾部Ason来讲
[099:06] 生命周期的长度的话是达到了三倍之长
[099:09] 那么头部Ason到底它做对了什么
[099:12] 我们还是来进一步的来看看头部Ason
[099:14] 在每一个阶段
[099:16] 它的一个整体的一个广告数据
[099:18] 表现对比的情况
[099:19] 那这里的话大家可以看一下
[099:21] Sunglasses它对比头部Ason
[099:24] 对比尾部Ason
[099:26] 它在新品期成长期成熟期
[099:29] 三个阶段的SP的投放的数据表现
[099:31] 以及SP的参与度上
[099:33] 我们会发现第一个
[099:34] 在新品期的时候
[099:36] 它的曝光量就已经拉到了
[099:38] 已经拉到了尾部Ason的49.8倍之高
[099:42] 那这个是一个非常高的数值
[099:44] 也是我们刚才有史以来
[099:45] 我们现在目前看到了
[099:47] 这四个案例当中最高的一个
[099:49] 但是我们会发现一个有意思的现状
[099:52] 在这个时候头部Ason的RowS的话
[099:54] 相对于尾部Ason来讲只有0.9倍
[099:57] 那这个时候我们会发现
[099:58] 它其实是在用一种
[100:00] 暂时短期牺牲RowS的一个方式
[100:03] 来去做一些
[100:04] 似乎在做一些战略性的投资
[100:06] 那这个战略性的投资
[100:08] 它最后实际会发生什么样的质变呢
[100:12] 那这里我们可以看一下
[100:13] 成长期和成熟期的一个数据
[100:15] 我们会发现说
[100:17] 在成长期和成熟期
[100:18] 不管是impression也好
[100:20] 还是点击也好
[100:21] 它都在急剧的上升
[100:22] 并且我们会发现在成熟期的时候
[100:25] 点击量可以达到尾部Ason的100倍之高
[100:28] 那这个也意味着说
[100:29] 它在成熟期和成长期
[100:31] 在全面的去放量拿量
[100:33] 那这个时候我们就会发现
[100:35] 这一组数据非常有意思的点
[100:37] 就在于是我们会发现
[100:38] 它的一个核心的策略化
[100:39] 用的是一个激进曝光
[100:40] 在一开始用激进曝光的方式
[100:42] 来去占领流量的高地
[100:44] 那么同时去抢占旺季的一个方式
[100:47] 来去确保自己在成长期和成熟期
[100:50] 能够获得较高的
[100:52] 这样一个表现的水平
[100:53] 以及较好的广告投放的一个
[100:56] 在罗S也好
[100:57] 包括它的一个整体
[100:59] 它的一个转化率也好
[101:00] 都能够得到一个比较明显的一个提升
[101:03] 那这个部分
[101:04] 它投过Ason是怎么去
[101:06] 用激进曝光
[101:07] 抢占旺季的策略
[101:09] 来去落实到具体的广告打法上的呢
[101:11] 我们来听听大孔老师的分享
[101:13] 好的
[101:15] 那下面的话
[101:16] 我们来看一下
[101:17] 这种季节性的一个
[101:19] 共同配置款的话
[101:20] 广告里面的话
[101:21] 在新品期
[101:22] 因为刚才的话呢
[101:23] 崔燕老师也给我们去
[101:24] 公布了一些亚马逊的官方的一些数据
[101:26] 我们其实也能够看到
[101:28] 其实这种产品的话
[101:29] 因为它的一个窗口期本身就比较短
[101:31] 所以总结一下
[101:33] 最关键的就是要激进的去强量
[101:36] 并且去快速去建立市场的认知
[101:39] 因为窗口期比较短
[101:41] 不像是比如说我们有些品的话
[101:44] 可以慢慢去打击的权重
[101:46] 那这部分的话呢
[101:47] 我们基本上你的产品从上架
[101:50] 还有呢
[101:51] 运输做一些万句话
[101:53] 优化的视觉等等
[101:54] 这些话都需要时间
[101:55] 那如果我们的卖家的话
[101:56] 其实广告投放的个窗口期的话
[101:58] 可能就那么短短的
[102:02] 一两个月时间
[102:03] 那么这个时间点的话呢
[102:06] 如果我们拿不下来比较靠前的一些坑位
[102:09] 或者说比较靠前的一些展示位置
[102:13] 那么我们的一个量的话呢
[102:15] 可能就无法做到有效的提升
[102:18] 所以在这个新品期里面
[102:20] 我们的一个手动广告里面
[102:22] 我们以这种主要的核心词大词为主
[102:26] 当然呢
[102:27] 在这种大四讯作投放中呢
[102:29] 也不是我们这些投放这个词的精准匹配啊
[102:32] 就是我们还是要把这个流量路口打开
[102:34] 但是呢
[102:34] 我们是以这种大四核心词为主
[102:36] 来去让它以这个核心词为理
[102:38] 给我们去拓展出来
[102:39] 更多一些流量路口
[102:41] 那么在这部分的话
[102:44] 我们也得重视一下
[102:45] 就是我们在前期呢
[102:47] 这种产品
[102:48] 它是否适配于一些节日
[102:50] 或者说一些这种
[102:52] 比如说快到了一些夏季
[102:55] 也已经录影去试用场景
[102:57] 那如果确实适配的话
[102:59] 那我们也可以结合这种适配场景
[103:01] 或者说节日礼物啊
[103:03] 这些等等的一些主性词
[103:04] 进一步在这种用到商品广告的一个广告关键词投放呢
[103:09] 扩大一下我们的流量路口
[103:10] 那同时里面我们得去锁定一下
[103:14] 竞品的一个Ason
[103:16] 在去锁定竞品Ason的时候呢
[103:18] 我们链接要跟竞品的话去做一下对比
[103:20] 如果确实我们比它有个优势
[103:22] 当然这个优势的话并不一定是价格啊
[103:26] 有时候你都可能比如说
[103:27] 这个外观呀
[103:28] 款式上面
[103:29] 你做的更加符合
[103:31] 比如说当地的一些消费者的一些需求
[103:35] 或者说审美
[103:36] 那么我们就可以去锁定一下
[103:38] 头部的一些Ason
[103:39] 借助竞品的一个对手的流量
[103:41] 快速给我们链接的话
[103:42] 贴标签
[103:43] 打标签就让系统快速识别我们是什么样的
[103:47] 那种人群呀
[103:48] 那种标签的产品
[103:49] 那么商品的话自动广告的话在这部分的话会有补充
[103:53] 主要是给我们以特资为目标去挖去这种长尾次的数据
[103:57] 当然你也去观察
[103:58] 观察没中属性匹配出来
[104:00] 它这个投放效果
[104:01] 品牌广告快速去做测试
[104:03] 这个品牌广告的话
[104:04] 不会说是你测试的时间拉的转件过长
[104:06] 一定要短平快快速去做一个测试
[104:09] 结合你的一个比如说场景图
[104:12] 或者说一些视频
[104:13] 视频
[104:14] 传记了卖点之后
[104:16] 如果你有多个素材的话
[104:18] 我们也是建议大家呢
[104:19] 结合你的词
[104:20] 不要你的具体的卖点
[104:22] 来去做一个投放
[104:24] 或者说你具体的场景
[104:25] 因为这种的话
[104:26] 顾客他购物的时候呢
[104:28] 一定是看什么呢
[104:30] 刚才说到过
[104:30] 比较赛意的一个点就是
[104:33] 他要去看一下是否符合自己的主观感受
[104:35] 是否符合自己的喜欢的款式
[104:37] 你有时候可能单单一个
[104:39] 比如说场景
[104:41] 或者展示他一个镜头
[104:44] 打动他
[104:45] 那他就能够实现一个下单
[104:46] 所以呢
[104:47] 我们一定要在这个阶段里面的话
[104:49] 快速去对于一个我们的广告素材
[104:52] 去做一个测试
[104:53] 那么在新领期过完之后
[104:55] 在成长期阶段里面
[104:56] 我们就得去用品牌广告去拉这个品牌的证值了
[105:01] 那么在这块的话
[105:03] 我们会考虑到就是
[105:05] 走动关键词广告里面的40%
[105:09] 预算主要是用来去继续加大
[105:12] 核心词的一个投放
[105:14] 因为呢
[105:15] 以你核心词为例
[105:17] 还会匹配出来比较
[105:18] 多的这个词本身
[105:20] 还有呢
[105:20] 他的一些拓展词
[105:22] 我们要尽可能抢在更靠前的一些位置
[105:24] 同时的话
[105:25] 你的品牌广告里面
[105:27] 我们也可以考虑用到
[105:29] SBV加上VCPM付费方式
[105:31] 前次曝光付费方式的话
[105:32] 卡在你的首位首位
[105:35] 那因为你的一个整个的素材场景的话
[105:39] 符合
[105:40] 如果你的受众顾客人群
[105:42] 那么基本上这部分的广告的话
[105:44] 给你快速拿订单
[105:45] 拿结果的话
[105:46] 也是非常就是有效的
[105:49] 非常高效的
[105:50] 同时呢
[105:51] 商品广告里面的15%的预算
[105:53] 我们会放到竞品
[105:55] 也是弱势竞品里面
[105:57] 继续去抢他们的转化
[105:59] 那么还有就是一部分
[106:01] 我们可能在这个新领期里边
[106:04] 拿不到结果的一些
[106:06] 就是强劲病
[106:08] 那你现在这个阶段里面的话
[106:10] 再有了数据积累的话
[106:11] 可能都能够拿到结果了
[106:12] 那么我们会把15%的预算
[106:14] 放到商品投
[106:15] 商品推广里面的商品投放
[106:17] 那之后的话
[106:18] 再有10%的话
[106:19] 预算呢
[106:20] 是自动里面
[106:21] 继续发展更多的一个流量入口
[106:23] 因为自动网里面的话
[106:25] 他会及时去给我们
[106:27] 这个这个
[106:28] 顾客的搜索行为
[106:29] 给我们去做出一些市场的反馈
[106:31] 有些事的话
[106:31] 可能我们再去
[106:32] 弄词库的时候
[106:34] 没有统计出来
[106:35] 但自动网里面
[106:35] 他告给我们
[106:37] 出来了一些新的词
[106:39] 因为他是有些季节性的
[106:41] 所以呢
[106:42] 他有些是之前可能没有
[106:43] 跑传
[106:43] 没有人搜索
[106:44] 但是到了一定的时间点
[106:46] 他可能就会有人搜索
[106:47] 自动网里头
[106:47] 能够及时给我们去返回出来的
[106:49] 所以通过自动网里头
[106:50] 返回出来的数据
[106:51] 我们如果确定一下
[106:53] 属性相笨合
[106:54] 而且自动网里头
[106:55] 也有测试
[106:56] 效果商
[106:57] 就是拿到转化的效果的话
[106:59] 点击率效果也OK
[107:00] 那我们就可以去快速的话
[107:01] 把它拉到我们的一个品牌
[107:04] 包括我们的
[107:05] 我们的什么官司里面
[107:05] 去做一个进一步的放量
[107:07] 那么在成长期
[107:09] 过完之后
[107:09] 我们来看一下成读期
[107:10] 成读期里边的话
[107:12] 总结一下
[107:12] 就是全面一个放量
